Questions,Blooms Taxonomy
What is the role of encryption in the operation of a virus?,evaluate
Differentiate internal commands from external commands.,understand
"In the S/370 architecture, a storage key is a control field associated with each page-sized frame of real memory. Two bits of that key that are relevant for page replacement are the reference bit and the change bit. The reference bit is set to 1 when any address within the frame is accessed for read or write, and is set to 0 when a new page is loaded into the frame. The change bit is set to 1 when a write operation is performed on any location within the frame. Suggest an approach for determining which page frames are least-recently-used, making use of only the reference bit.",analyze
What are the design goals for TinyOS?,understand
What is Memory-Management Unit (MMU)?,understand
What is multithreading?,understand
Explain the concept of Reentrancy?,understand
Name the functions constituting the OS's memory management.,remember
"Consider the following program: <CODE> Note that the scheduler in a uniprocessor system would implement pseudo-parallel execution of these two concurrent processes by interleaving their instructions, without restriction on the order of the interleaving. Show a sequence such that the statement ‰ЫПx is 8‰Ыќ is printed. You should remember that the increment/decrements at the source language level are not done atomically, that is, the assembly language code: <CODE> implements the single C increment instruction (x = x + 1).",analyze
What delay elements are involved in a disk read or write?,understand
"For Figure 6.3, provide a narrative description of each of the six depicted paths, similar to the description of the paths of Figure 6.2 provided in Section 6.1.",understand
What is the difference between internal and external fragmentation?,understand
What are the different types of CPU registers in a typical operating system design?,remember
"In loading programs into memory, what is the difference between load-time dynamic linking and run-time dynamic linking?",understand
What is a semaphore?,remember
What is process migration?,remember
"Let be the percentage of program code that can be executed simultaneously by n computers in a cluster, each computer using a different set of parameters or initial conditions. Assume that the remaining code must be executed sequentially by a single processor. Each processor has an execution rate of x MIPS. Derive an expression for the effective MIPS rate when using the system for exclusive execution of this program, in terms of n, , and x.",analyze
Difference between Primary storage and secondary storage?,understand
What is the difference between a mode switch and a process switch?,understand
What characteristics distinguish the various elements of a memory hierarchy?,analyze
"It was pointed out that two advantages of using multiple threads within a process are that (1) less work is involved in creating a new thread within an existing process than in creating a new process, and (2) communication among threads within the same process is simplified. Is it also the case that a mode switch between two threads within the same process involves less work than a mode switch between two threads in different processes?",evaluate
"Consider a buddy system in which a particular block under the current allocation has an address of 011011110000. If the block is of size 4, what is the binary address of its buddy? If the block is of size 16, what is the binary address of its buddy?",analyze
"Consider a memory in which contiguous segments S1, S2,...,Sn are placed in their order of creation from one end of the store to the other, as suggested by the following figure: When segment Sn+1 is being created, it is placed immediately after segment Sn even though some of the segments S1, S2,...,Sn may already have been deleted. When the boundary between segments (in use or deleted) and the hole reaches the other end of the memory, the segments in use are compacted. The fraction of time F spent on compacting obeys the following inequality: FUнЃ1-f wherek=t-1 1 + kf 2s where, s average length of a segment, in words, t average lifetime of a segment, in memory references, f fraction of the memory that is unused under equilibrium conditions. Find F for f 0.2,t 1,000, and s 50.",analyze
Describe Bankers algorithm,understand
Why a process need a resource being held by another process in an operating system,understand
What is a folder in Ubuntu ?,understand
"In the THE multiprogramming system, a page can make the following state transitions: <CONDITIONS> Define the effect of these",analyze
"This diagram shows an example of memory configuration under dynamic partitioning, after a number of placement and swapping-out operations have been carried out. Addresses go from left to right; gray areas indicate blocks occupied by processes; white areas indicate free memory blocks. The last process placed is 2-Mbyte and is marked with an X. Only one process was swapped out after that. A new 3-Mbyte allocation request must be satisfied next. Indicate the intervals of memory where a partition will be created for the new process under the following four placement algorithms: best-fit, first-fit, next-fit, worst-fit. For each algorithm, draw a horizontal segment under the memory strip and label it clearly.",analyze
What are the advantages of multiprocessor system?,analyze
How many jobs can be run concurrently on MVT?,remember
List and briefly define three versions of load sharing.,understand
What is mutant?,analyze
Consider a fixed partitioning scheme with equal-size partitions of 216 bytes and a total main memory size of 224 bytes. A process table is maintained that includes a pointer to a partition for each resident process. How many bits are required for the pointer?,analyze
"Consider a disk with N tracks numbered from 0 to (N - 1) and assume that requested sectors are distributed randomly and evenly over the disk. We want to calculate the average number of tracks traversed by a seek. Calculate the probability of a seek of length j when the head is currently positioned over track t. (Hint: This is a matter of determining the total number of combinations, recognizing that all track positions for the destination of the seek are equally likely.)",analyze
Explain the rationale behind the three-tier client/server architecture.,analyze
What are turnaround time and response time?,understand
How can the hold-and-wait condition be prevented?,evaluate
Directories can be implemented either as ‰ЫПspecial files‰Ыќ that can only be accessed in limited ways or as ordinary data files. What are the advantages and disadvantages of each approach?,evaluate
"In Section 3.4, it was stated that UNIX is unsuitable for real-time applications because a process executing in kernel mode may not be preempted. Elaborate.",analyze
Explain what is the purpose of using libaio package in Ubuntu?,understand
For what types of entities does the OS maintain tables of information for management purposes?,understand
"The following FORTRAN program is to be executed on a computer, and a parallel version is to be executed on a 32-computer cluster. <CODE> Suppose lines 2 and 4 each take two machine cycle times, including all processor and memory-access activities. Divide the I-loop iterations among the 32 computers as follows: Computer 1 executes the first 32 iterations (I 1 to 32), processor 2 executes the next 32 iterations, and so on. What are the execution time and speedup factor compared with part (a)? (Note that the computational workload, dictated by the J-loop, is unbalanced among the computers.)",evaluate
What is a critical section?,understand
evaluate the banker‰ЫЄs algorithm for its usefulness in an OS.,evaluate
"Suppose that we have a multiprogrammed computer in which each job has identical characteristics. In one computation period, T, for a job, half the time is spent in I/O and the other half in processor activity. Each job runs for a total of N periods. Assume that a simple round-robin scheduling is used, and that I/O operations can overlap with processor operation. Define the following quantities: ‰Ыў Turnaround time = actual time to complete a job ‰Ыў Throughput = average number of jobs completed per time period T ‰Ыў Processor utilization = percentage of time that the processor is active (not waiting) Compute these quantities for one, two, and four simultaneous jobs, assuming that the period T is distributed in each of the following ways: a. I/O first half, processor second half b. I/O first and fourth quarters, processor second and third quarter",evaluate
What are some pros and cons of a command line interface?,evaluate
"Consider a simple segmentation system that has the following segment table: <TABLE> For each of the following logical addresses, determine the physical address or indicate if a segment fault occurs",analyze
What level of security does Windows NT meets?,evaluate
"Because of the known risks of the UNIX password system, the SunOS-4.0 documentation recommends that the password file be removed and replaced with a publicly readable file called /etc/publickey. An entry in the file for user A consists of a user‰ЫЄs identifier IDA, the user‰ЫЄs public key, PUa, and the corresponding private key, PRa. This private key is encrypted using DES with a key derived from the user‰ЫЄs login password Pa. When A logs in, the system decrypts E(Pa, PRa) to obtain PRa. The system then verifies that Pa was correctly supplied. How?",analyze
"What is the difference among deadlock avoidance, detection, and prevention?",understand
What are the basic functions of file management in OS?,understand
Consider an environment in which there is a one-to-one mapping between user-level threads and kernel-level threads that allows one or more threads within a process to issue blocking system calls while other threads continue to run. Explain why this model can make multithreaded programs run faster than their single-threaded counterparts on a uniprocessor computer.,evaluate
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. List all of the impossible transitions and explain why.",evaluate
Both the search and the insertion time for a B-tree are a function of the height of the tree. We would like to develop a measure of the worst-case search or insertion time. Consider a B-tree of degree d that contains a total of n keys. Develop an inequality that shows an upper bound on the height h of the tree as a function of d and n.,analyze
Why does the eCos bitmap scheduler not support time slicing?,analyze
List some benefits and disadvantages of blocking and nonblocking primitives for message passing.,evaluate
What is a trap and trapdoor?,remember
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. For the seven-state process model of Figure 3.9b, draw a queueing diagram similar to that of Figure 3.8b.",create
What is graceful degradation?,understand
"Assume that source elements of length k are mapped in some uniform fashion into a target elements of length p. If each digit can take on one of r values, then the number of source elements is rk and the number of target elements is the smaller number rp. A particular source element xi is mapped to a particular target element yj. What is the probability that the correct source element can be selected by an adversary on one try? What is the probability that a different source element xk (xi =нь xk) that results in the same target element, yj, could be produced by an adversary? What is the probability that the correct target element can be produced by an adversary on one try?",analyze
"In general terms, what are the four distinct actions that a machine instruction can specify?",remember
"Consider the solution to the infinite-buffer producer/consumer problem defined in Figure 5.10. Suppose we have the (common) case in which the producer and consumer are running at roughly the same speed. The scenario could be: Producer: append; semSignal; produce; ... ; append; semSignal; produce; ... Consumer: consume; ... ; take; semWait; consume; ... ; take; semWait; ... The producer always manages to append a new element to the buffer and signal during the consumption of the previous element by the consumer. The producer is always appending to an empty buffer and the consumer is always taking the sole item in the buffer. Although the consumer never blocks on the semaphore, a large number of calls to the semaphore mechanism is made, creating considerable overhead. Construct a new program that will be more efficient under these circumstances. Hints: Allow n to have the value ‰ЫТ1, which is to mean that not only is the buffer empty but that the consumer has detected this fact and is going to block until the producer supplies fresh data.",create
Throw some light on Internal Process Memory.,understand
What are some typical requirements or constraints on embedded systems?,remember
"Assume that a task is divided into four equal-sized segments and that the system builds an eight-entry page descriptor table for each segment. Thus, the system has a combination of segmentation and paging. Assume also that the page size is 2 Kbytes. What is the maximum size of each segment? What is the maximum logical address space for the task?",analyze
What differences are there between a semaphore wait signal and a condition variable wait signal?,evaluate
"In Table 13.2, what limitations should be placed in the use of cyg_drv_mutex_ destroy?",evaluate
"Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. If an input and an output instruction can specify an 8-bit I/O port number, how many 8-bit I/O ports can the microprocessor support? How many 16-bit I/O ports? Explain.",analyze
"Let be the percentage of program code that can be executed simultaneously by n computers in a cluster, each computer using a different set of parameters or initial conditions. Assume that the remaining code must be executed sequentially by a single processor. Each processor has an execution rate of x MIPS. If n 16 and x 4 MIPS, determine the value of that will yield a system performance of 40 MIPS.",analyze
What is an interrupt?,remember
Suggest an additional resource constraint that will prevent the deadlock in Problem 6.7 but still permit the boundary between input and output buffers to vary in accordance with the present needs of the processes.,create
What is virtual memory?,understand
Why is it not possible to enforce memory protection at compile time?,evaluate
"Consider the disk system described in Problem 11.7, and assume that the disk rotates at 360 rpm. A processor reads one sector from the disk using interrupt-driven I/O, with one interrupt per byte. If it takes 2.5 л_s to process each interrupt, what percentage of the time will the processor spend handling I/O (disregard seek time)?",analyze
What is the difference between a bot and a rootkit?,understand
What kind of operations are possible on a semaphore?,analyze
Consider Figure 5.13. Would the meaning of the program change if the following were interchanged? a. semWait(e);semWait(s) b. semSignal(s);semSignal(n) c. semWait(n);semWait(s) d. semSignal(s);semSignal(e),evaluate
Explain SMP.,understand
What are the advantages of a multiprocessor system?,evaluate
List and briefly define three blocking methods.,understand
"Assume that passwords are selected from four-character combinations of 26 alphabetic characters. Assume that an adversary is able to attempt passwords at a rate of one per second. a. Assuming no feedback to the adversary until each attempt has been completed, what is the expected time to discover the correct password? b. Assuming feedback to the adversary flagging an error as each incorrect character is entered, what is the expected time to discover the correct password?",analyze
Is non-pre-emptive scheduling frequently used in a computer? Why?,understand
What is time-stamping?,understand
What is a daemon?,understand
What is the typical disk sector size?,remember
Consider the following fragment in an authentication program: <CODE> What type of malicious software is this?,analyze
"Calculate how much disk space (in sectors, tracks, and surfaces) will be required to store 300,000 120-byte logical records if the disk is fixed sector with 512 bytes/ sector, with 96 sectors/track, 110 tracks per surface, and 8 usable surfaces. Ignore any file header record(s) and track indexes, and assume that records cannot span two sectors.",analyze
What is a device queue?,remember
"Define: B block size, R record size, P size of block pointer, F blocking factor;",understand
What are typical operations that may be performed on a directory?,remember
Now consider this correct solution to the preceding problem: <CODE> Explain how this program works and why it is correct.,evaluate
What is FtDisk?,remember
Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. What architectural features will allow this microprocessor to access a separate ‰ЫПI/O space‰Ыќ?,apply
Explain the handheld systems. List the issues related to the handheld system.,understand
List reasons why a mode switch between threads may be cheaper than a mode switch between processes.,analyze
What is the difference between a page and a segment?,understand
What is pre-emptive and non-preemptive scheduling?,remember
"What is the purpose of system calls, and how do system calls relate to the OS and to the concept of dual-mode (kernel-mode and user-mode) operation?",analyze
The following equation was suggested both for cache memory and disk cache memory: TS =TC +M*TD Generalize this equation to a memory hierarchy with N levels instead of just 2.,create
"When designing the file structure for an operating system, what attributes are considered?",remember
What types of programming languages are vulnerable to buffer overflows?,analyze
List and briefly define three intruder behavior patterns.,remember
List and briefly define five different categories of synchronization granularity.,understand
"In the THE multiprogramming system, a page can make the following state transitions: <CONDITIONS> Can any of them lead to a buffer transitions in terms of the quantities i, o, and p. deadlock if the assumptions made in Problem 6.6 about input processes, user processes, and output processes hold?",analyze
What is SMP?,understand
Why is partitioning and formatting a prerequisite to installing an operating system?,understand
What is the best page size when designing an operating system?,evaluate
What is logical and physical addresses space?,understand
Consider a hypothetical 32-bit microprocessor having 32-bit instructions composed of two fields. How many bits are needed for the program counter and the instruction register?,remember
What is page cannibalizing?,remember
When is a system in safe state?,understand
"Suppose the following two processes, foo and bar are executed concurrently and share the semaphore variables S and R (each initialized to 1) and the integer variable x (initialized to 0). Can the concurrent execution of these two processes result in one or both being blocked forever? If yes, give an execution sequence in which one or both are blocked forever.",analyze
"Suppose that there are two types of philosophers. One type always picks up his left fork first (a ‰ЫПlefty‰Ыќ), and the other type always picks up his right fork first (a ‰ЫПrighty‰Ыќ). The behavior of a lefty is defined in Figure 6.12. The behavior of a righty is as follows: <CODE> Prove the following: Any seating arrangement of lefties and righties with at least one of each prevents starvation.",evaluate
Consider a hierarchical file system in which free disk space is kept in a free space list. Suppose the pointer to free space is lost. Can the system reconstruct the free space list?,analyze
Consider the following code <CODE> a. Give one example of the spatial locality in the code. b. Give one example of the temporal locality in the code.,understand
List some benefits and disadvantages of nonpersistent and persistent binding for RPCs.,analyze
What is an instruction trace?,understand
What is EIDE?,analyze
"Assuming a page size of 4 Kbytes and that a page table entry takes 4 bytes, how many levels of page tables would be required to map a 64-bit address space, if the top level page table fits into a single page?",analyze
"At the beginning of Section 5.1, it is stated that multiprogramming and multiprocessing present the same problems, with respect to concurrency. This is true as far as it goes. However, cite two differences in terms of concurrency between multiprogramming and multiprocessing.",analyze
List two disadvantages of ULTs compared to KLTs.,understand
List out some reasons for process termination.,remember
"The following FORTRAN program is to be executed on a computer, and a parallel version is to be executed on a 32-computer cluster. <CODE> Suppose lines 2 and 4 each take two machine cycle times, including all processor and memory-access activities. What is the minimum execution time resulting from the parallel execution on 32 computers? What is the resulting speedup over a single computer?",apply
What are real-time systems?,understand
The Solaris documentation states that a ULT may yield to another thread of the same priority. Isn‰ЫЄt it possible that there will be a runnable thread of higher priority and that therefore the yield function should result in yielding to a thread of the same or higher priority?,analyze
What is the default scheduling discipline for TinyOS?,remember
What is a thread?,understand
What are local and global page replacements?,understand
What are the possible threads a thread can have?,remember
"Under DOS, what command will you type when you want to list down the files in a directory, and at the same time pause after every screen output?",remember
Consider a hierarchical file system in which free disk space is kept in a free space list. Suggest a scheme to ensure that the pointer is never lost as a result of a single memory failure.,create
Briefly describe the difference between DAC and RBAC.,understand
What is the basic function of paging?,understand
Consider a desktop publishing system used to produce documents for various organizations. Give an example of a type of publication for which a. confidentiality of the stored data is the most important requirement b. data integrity is the most important requirement. c. system availability is the most important requirement.,apply
What is dual-mode operation?,understand
What is demand paging?,understand
Explain compaction.,understand
Explain what is the meaning of export command in Ubuntu?,understand
"Consider the following program which provides a software approach to mutual exclusion: integer array control [1 :N]; integer k where 1 ‰д_ k ‰д_ N, and each element of ‰ЫПcontrol‰Ыќ is either 0, 1, or 2. All elements of ‰ЫПcontrol‰Ыќ are initially zero; the initial value of k is immaterial. The program of the ith process (1 ‰д_ i ‰д_ N) is begin integer j; <CODE> This is referred to as the Eisenberg-McGuire algorithm. Explain its operation and its key features.",analyze
Why are two modes (user and kernel) needed?,understand
"In general terms, how does a worm propagate?",understand
"The VAX/VMS operating system makes use of four processor access modes to facilitate the protection and sharing of system resources among processes. The access mode determines ‰Ыў Instruction execution privileges: What instructions the processor may execute ‰Ыў Memory access privileges: Which locations in virtual memory the current instruction may access. The four modes are as follows: ‰Ыў Kernel: Executes the kernel of the VMS operating system, which includes memory management, interrupt handling, and I/O operations ‰Ыў Executive: Executes many of the OS service calls, including file and record (disk and tape) management routines ‰Ыў Supervisor: Executes other OS services, such as responses to user commands ‰Ыў User: Executes user programs, plus utilities such as compilers, editors, linkers, and debuggers. A process executing in a less-privileged mode often needs to call a procedure that executes in a more-privileged mode; for example, a user program requires an operating system service. This call is achieved by using a change-mode (CHM) instruction, which causes an interrupt that transfers control to a routine at the new access mode. A return is made by executing the REI (return from exception or interrupt) instruction. Can you make a case for even more than four modes?",understand
What is a file management system?,understand
Why is round robin algorithm considered better than first come first served algorithm?,evaluate
How are server systems classified?,understand
"In priority-based process scheduling, the scheduler only gives control to a particular process if no other process of higher priority is currently in the Ready state. Assume that no other information is used in making the process scheduling decision. Also assume that process priorities are established at process creation time and do not change. In a system operating with such assumptions, why would using Dekker‰ЫЄs solution (see Section A.1) to the mutual exclusion problem be ‰ЫПdangerous‰Ыќ? Explain this by telling what undesired event could occur and how it could occur.",analyze
List and briefly define four different clustering methods.,understand
Explain the popular multiprocessor thread-scheduling strategies.,understand
"A software approach to mutual exclusion is Lamport‰ЫЄs bakery algorithm [LAMP74], so called because it is based on the practice in bakeries and other shops in which every customer receives a numbered ticket on arrival, allowing each to be served in turn. The algorithm is as follows: <CODE> Show that it enforces mutual exclusion.",analyze
When does the Belady's anomaly occur?,understand
What is time slice?,understand
"A key to the performance of the VSWS resident set management policy is the value of Q. Experience has shown that, with a fixed value of Q for a process, there are considerable differences in page fault frequencies at various stages of execution. Furthermore, if a single value of Q is used for different processes, dramatically different frequencies of page faults occur. These differences strongly indicate that a mechanism that would dynamically adjust the value of Q during the lifetime of a process would improve the behavior of the algorithm. Suggest a simple mechanism for this purpose.",apply
"Suppose the page table for the process currently executing on the processor looks like the following. All numbers are decimal, everything is numbered starting from zero, and all addresses are memory byte addresses. The page size is 1,024 bytes. What physical address, if any, would each of the following virtual addresses correspond to?",analyze
Briefly describe the three types of processor scheduling.,understand
"You have executed the following C program: <CODE> What are the possible outputs, assuming the fork succeeded?",analyze
"To implement the various placement algorithms discussed for dynamic partitioning (Section 7.2), a list of the free blocks of memory must be kept. For each of the three methods discussed (best-fit, first-fit, next-fit), what is the average length of the search?",apply
"In the context of an IDS, we define a false positive to be an alarm generated by an IDS in which the IDS alerts to a condition that is actually benign. A false negative occurs when an IDS fails to generate an alarm when an alert-worthy condition is in effect. Using the following diagram, depict two curves that roughly indicate false positives and false negatives, respectively.",apply
Name the different types of memory?,understand
Explain the difference between a simple memory card and a smart card.,understand
What are the disadvantages of context switching?,evaluate
What are time sharing systems?,understand
"Because of the known risks of the UNIX password system, the SunOS-4.0 documentation recommends that the password file be removed and replaced with a publicly readable file called /etc/publickey. An entry in the file for user A consists of a user‰ЫЄs identifier IDA, the user‰ЫЄs public key, PUa, and the corresponding private key, PRa. This private key is encrypted using DES with a key derived from the user‰ЫЄs login password Pa. When A logs in, the system decrypts E(Pa, PRa) to obtain PRa. How can an opponent attack this system?",evaluate
Why does Figure 3.9b have two blocked states?,understand
How would a filenamed EXAMPLEFILE.TXT appear when viewed under the DOS command console operating in Windows 98?,remember
What are the different types of Real-Time Scheduling?,understand
"A spooling system (Figure 6.16) consists of an input process I, a user process P, and an output process O connected by two buffers. The processes exchange data in blocks of equal size. These blocks are buffered on a disk using a floating boundary between the input and the output buffers, depending on the speed of the processes. The communication primitives used ensure that the following resource constraint is satisfied: <CONDITIONS> Show that this system can become deadlocked.",analyze
The discussion of eCos spinlocks included an example showing why spinlocks should not be used on a uniprocessor system if two threads of different priorities can compete for the same spinlock. Explain why the problem still exists even if only threads of the same priority can claim the same spinlock.,analyze
"Consider a sharable resource with the following characteristics: (1) As long as there are fewer than three processes using the resource, new processes can start using it right away. (2) Once there are three process using the resource, all three must leave before any new processes can begin using it. We realize that counters are needed to keep track of how many processes are waiting and active, and that these counters are themselves shared resources that must be protected with mutual exclusion. So we might create the following solution: <CODE> Suppose we change the if in line 6 to a while. Does this solve any problem in the program? Do any difficulties remain?",evaluate
Briefly define the seven RAID levels.,remember
Explain thrashing.,understand
"An interactive system using round-robin scheduling and swapping tries to give guaranteed response to trivial requests as follows: After completing a round-robin cycle among all ready processes, the system determines the time slice to allocate to each ready process for the next cycle by dividing a maximum response time by the number of processes requiring service. Is this a reasonable policy?",evaluate
"Comment on the following solution to the dining philosophers problem. A hungry philosopher first picks up his left fork; if his right fork is also available, he picks up his right fork and starts eating; otherwise he puts down his left fork again and repeats the cycle.",evaluate
"Consider a 32-bit microprocessor, with a 16-bit external data bus, driven by an 8-MHz input clock. To increase its performance, would it be better to make its external data bus 32 bits or to double the external clock frequency supplied to the microprocessor?",evaluate
What is the difference between hard and soft real-time tasks?,understand
Consider the following program: <CODE> This software solution to the mutual exclusion problem for two processes is proposed in [HYMA66]. Find a counterexample that demonstrates that this solution is incorrect. It is interesting to note that even the Communications of the ACM was fooled on this one.,evaluate
For a deadlock to occur what are the necessary conditions,understand
How can you add new entries to the launcher?,remember
"For process scheduling, does a low-priority value represent a low priority or a high priority?",understand
"One scheme to avoid the problem of preallocation versus waste or lack of contiguity is to allocate portions of increasing size as the file grows. For example, begin with a portion size of one block, and double the portion size for each allocation. Consider a file of n records with a blocking factor of F, and suppose that a simple one-level index is used as a file allocation table. What is the maximum amount of the allocated file space that is unused at any time?",analyze
What are some of the key characteristics of an embedded OS?,understand
"5.18 The following problem was once used on an exam: Jurassic Park consists of a dinosaur museum and a park for safari riding. There are m passengers and n single-passenger cars. Passengers wander around the museum for a while, then line up to take a ride in a safari car. When a car is available, it loads the one passenger it can hold and rides around the park for a random amount of time. If the n cars are all out riding passengers around, then a passenger who wants to ride waits; if a car is ready to load but there are no waiting passengers, then the car waits. Use semaphores to synchronize the m passenger processes and the n car processes. The following skeleton code was found on a scrap of paper on the floor of the exam room. Grade it for correctness. Ignore syntax and missing variable declarations. remember that P and V correspond to semWait and semSignal. <CODE>",analyze
"With reference to the device driver interface to the eCos kernel (Table 13.2), it is recommended that device drivers should use the _intsave() variants to claim and release spinlocks rather than the non-_intsave() variants. Explain why.",analyze
"Table 3.5 lists typical elements found in a process control block for an unthreaded OS. Of these, which should belong to a thread control block and which should belong to a process control block for a multithreaded system?",analyze
Explain what is Unity in Ubuntu ?,understand
"Another placement algorithm for dynamic partitioning is referred to as worst-fit. In this case, the largest free block of memory is used for bringing in a process. Discuss the pros and cons of this method compared to first-, next-, and best-fit.",evaluate
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. List all of the possible transitions and give an example of what could cause each transition.",analyze
What is DLM?,understand
"Why is a single serial port managed with a single interrupt-driven I/O but a front-end processor is managed using a polling I/O, such as a terminal concentrator?",analyze
What is the difference between a resident set and a working set?,understand
Briefly define round-robin scheduling.,understand
When does the condition 'rendezvous' arise?,understand
What are the states of a process?,remember
Is busy waiting always less efficient (in terms of using processor time) than a blocking wait? Explain.,analyze
What is asymmetric clustering?,understand
Explain Process.,remember
What is plumbing / piping?,understand
What is meant by arm-stickiness?,understand
What is process migration?,understand
Explain PCB.,understand
"Consider the following program: <CODE> Note that the scheduler in a uniprocessor system would implement pseudo-parallel execution of these two concurrent processes by interleaving their instructions, without restriction on the order of the interleaving. Show a sequence (i.e., trace the sequence of interleavings of statements) such that the statement ‰ЫПx is 10‰Ыќ is printed.",apply
"Consider the following workload: Show the schedule using shortest remaining time, nonpreemptive priority (a smaller priority number implies higher priority) and round robin with quantum 30 ms. Use time scale diagram as shown below for the FCFS example to show the schedule for each requested scheduling policy. What is the average waiting time of the above scheduling policies?",apply
"Consider a system with memory mapping done on a page basis and using a single level page table. Assume that the necessary page table is always in memory. If a memory reference takes 200 ns, how long does a paged memory reference take?",evaluate
Assume you want to implement a hashed inverted page table for the same. How much memory space is needed for the user page table of Figure 8.4?,evaluate
"One scheme to avoid the problem of preallocation versus waste or lack of contiguity is to allocate portions of increasing size as the file grows. For example, begin with a portion size of one block, and double the portion size for each allocation. Consider a file of n records with a blocking factor of F, and suppose that a simple one-level index is used as a file allocation table. Give an upper limit on the number of entries in the file allocation table as a function of F and n.",analyze
What is a digital immune system?,understand
State the advantages of segmented paging over pure segmentation?,analyze
What criteria are important in choosing a file organization?,evaluate
Give four general examples of the use of threads in a single-user multiprocessing system.,understand
List and briefly define five file organizations.,remember
Consider the following fragment: <CODE> What type of malicious software is this?,remember
How can the speed of interrupt driven input output systems be improved?,apply
What is a library?,remember
"The UNIX kernel will dynamically grow a process‰Ûªs stack in virtual memory as needed, but it will never try to shrink it. Consider the case in which a program calls a C subroutine that allocates a local array on the stack that consumes 10 K. The kernel will expand the stack segment to accommodate it. When the subroutine returns, the stack pointer is adjusted and this space could be released by the kernel, but it is not released. Explain why it would be possible to shrink the stack at this point and why the UNIX kernel does not shrink it.",analyze
"Assume that a task is divided into four equal-sized segments and that the system builds an eight-entry page descriptor table for each segment. Thus, the system has a combination of segmentation and paging. Assume also that the page size is 2 Kbytes. Assume that an element in physical location 00021ABC is accessed by this task. What is the format of the logical address that the task generates for it? What is the maximum physical address space for the system?",analyze
Consider a paged logical address space (composed of 32 pages of 2 Kbytes each) mapped into a 1-Mbyte physical memory space. What is the length and width of the page table (disregarding the ‰ÛÏaccess rights‰Û� bits)?,evaluate
Prove that the minimax response ratio algorithm of the preceding problem minimizes the maximum response ratio for a given batch of jobs. (Hint: Focus attention on the job that will achieve the highest response ratio and all jobs executed before it. Consider the same subset of jobs scheduled in any other order and observe the response ratio of the job that is executed as the last one among them. Notice that this subset may now be mixed with other jobs from the total set.),evaluate
Consider a set of five aperiodic tasks with the execution profiles of Table 10.7. Develop scheduling diagrams similar to those of Figure 10.6 for this set of tasks.,apply
Explain the booting process of a Windows XP system.,remember
What is an operating system?,understand
Define jacketing.,remember
"When an input file is opened, what are the possible errors that may occur?",analyze
Contrast the scheduling policies you might use when trying to optimize a time-sharing system with those you would use to optimize a multiprogrammed batch system.,apply
What is middleware?,understand
"In the discussion of ULTs versus KLTs, it was pointed out that a disadvantage of ULTs is that when a ULT executes a system call, not only is that thread blocked, but also all of the threads within the process are blocked. Why is that so?",analyze
What is SMP?,understand
"An early attempt to force users to use less predictable passwords involved computer supplied passwords. The passwords were eight characters long and were taken from the character set consisting of lowercase letters and digits. They were generated by a pseudorandom number generator with 215 possible starting values. Using the technology of the time, the time required to search through all character strings of length 8 from a 36-character alphabet was 112 years. Unfortunately, this is not a true reflection of the actual security of the system. Explain the problem.",analyze
What are the pros and cons of using circuit switching?,analyze
"Many current language specifications, such as for C and C++, are inadequate for multithreaded programs. This can have an impact on compilers and the correctness of code, as this problem illustrates. Consider the following declarations and function definition: <CODE> Now consider the case in which thread A performs <CODE> while thread B performs <CODE> What does the function do?",analyze
What is the difference between demand cleaning and precleaning?,understand
"In a queueing system, new jobs must wait for a while before being served. While a job waits, its priority increases linearly with time from zero at a rate a. A job waits until its priority reaches the priority of the jobs in service; then, it begins to share the processor equally with other jobs in service using round robin while its priority continues to increase at a slower rate b. The algorithm is referred to as selfish round robin, because the jobs in service try (in vain) to monopolize the processor by increasing their priority continuously. Use Figure 9.19 to show that the mean response time Rx for a job of service time x is given by: where Rx s +x-s 1 - r 1 - r r ls r assuming that arrival and service times are exponentially distributed with means 1/ and s, respectively. (Hint: Consider the total system and the two subsystems separately.)",analyze
What are the benefits and losses of placing the functionality in a device controller rather than in placing it in the kernel?,analyze
What are the activities related to the Time Shared User Program Management?,understand
What is the kernel of an OS?,understand
Describe Main memory and Secondary memory storage in brief.,understand
Define the following terms: (i) Database Schema (ii) View (iii) DBA (iv) Deadlock,remember
What is Database Management System? How does it differ from Traditional File System?,remember
Explain a Database System three level architecture with a block diagram.,apply
"What is the need of Key in Database? Differentiate Super Key, Candidate Key, Primary Key and Foreign Key with example.",analyze
Explain specialization and generalization feature of E-R diagram with example.,apply
Differentiate between Tuple Relational Calculus & Domain Relational Calculus.,analyze
Consider the Following Relational schema: Construct relational algebra queries for the following statements:,apply
Retrieve the names of all British directors.,apply
Find out the names of all American actors above the age of 40.,evaluate
Retrieve the name of each actor together with the titles of the films he/she has performed in.,apply
Retrieve details of all films that were released in 2017.,apply
Find out the names of all actors that have played the character of Tom Cruise.,evaluate
How GROUP BY clause works? What is the difference between WHERE and HAVING?,remember
